up,down,x,y,elev,major_class
0.0,0.5,189489.4,417489.9,12.92,clay
0.5,1.3,189489.4,417489.9,12.92,rocks
1.3,1.6,189489.4,417489.9,12.92,clay
1.6,3.0,189489.4,417489.9,12.92,silt
0.0,0.9,189657.0,417303.01,9.14,clay
0.9,1.9,189657.0,417303.01,9.14,clay
1.9,2.9,189657.0,417303.01,9.14,clay
2.9,3.0,189657.0,417303.01,9.14,clay
3.0,3.5,189657.0,417303.01,9.14,clay
3.5,3.7,189657.0,417303.01,9.14,silt
3.7,4.0,189657.0,417303.01,9.14,peat
4.0,5.0,189657.0,417303.01,9.14,gravel
5.0,6.0,189657.0,417303.01,9.14,gravel
6.0,7.0,189657.0,417303.01,9.14,gravel
7.0,8.0,189657.0,417303.01,9.14,gravel
0.0,1.0,189795.6,417094.2,9.45,clay
1.0,1.8,189795.6,417094.2,9.45,clay
1.8,2.8,189795.6,417094.2,9.45,clay
2.8,3.0,189795.6,417094.2,9.45,clay
3.0,4.0,189795.6,417094.2,9.45,silt
4.0,4.3,189795.6,417094.2,9.45,silt
4.3,5.3,189795.6,417094.2,9.45,silt
5.3,5.5,189795.6,417094.2,9.45,silt
5.5,6.5,189795.6,417094.2,9.45,silt
6.5,6.8,189795.6,417094.2,9.45,silt
6.8,7.5,189795.6,417094.2,9.45,silt
7.5,8.0,189795.6,417094.2,9.45,gravel
8.0,9.0,189795.6,417094.2,9.45,silt
9.0,9.4,189795.6,417094.2,9.45,silt
9.4,10.4,189795.6,417094.2,9.45,silt
10.4,11.4,189795.6,417094.2,9.45,silt
11.4,12.4,189795.6,417094.2,9.45,silt
12.4,13.0,189795.6,417094.2,9.45,silt
0.0,1.0,189915.3,416878.8,9.5,clay
1.0,2.0,189915.3,416878.8,9.5,clay
2.0,2.2,189915.3,416878.8,9.5,clay
2.2,2.8,189915.3,416878.8,9.5,silt
2.8,3.8,189915.3,416878.8,9.5,silt
3.8,4.8,189915.3,416878.8,9.5,silt
4.8,5.8,189915.3,416878.8,9.5,silt
5.8,6.0,189915.3,416878.8,9.5,silt
6.0,7.0,189915.3,416878.8,9.5,silt
7.0,8.0,189915.3,416878.8,9.5,silt
0.0,0.2,190020.8,416647.0,9.46,clay
0.2,1.0,190020.8,416647.0,9.46,rocks
1.0,1.5,190020.8,416647.0,9.46,clay
1.5,4.1,190020.8,416647.0,9.46,silt
4.1,4.5,190020.8,416647.0,9.46,silt
0.0,0.2,190113.8,416416.1,9.31,clay
0.2,1.3,190113.8,416416.1,9.31,silt
1.3,1.6,190113.8,416416.1,9.31,clay
1.6,2.0,190113.8,416416.1,9.31,clay
2.0,2.7,190113.8,416416.1,9.31,silt
2.7,3.8,190113.8,416416.1,9.31,silt
3.8,4.0,190113.8,416416.1,9.31,rocks
0.0,0.4,190264.7,416228.0,9.48,gravel
0.4,1.4,190264.7,416228.0,9.48,silt
1.4,2.0,190264.7,416228.0,9.48,clay
2.0,4.0,190264.7,416228.0,9.48,silt
0.0,0.6,190420.8,416033.2,9.09,clay
0.6,1.0,190420.8,416033.2,9.09,clay
1.0,4.0,190420.8,416033.2,9.09,silt
4.0,4.3,190420.8,416033.2,9.09,silt
4.3,5.3,190420.8,416033.2,9.09,silt
5.3,6.0,190420.8,416033.2,9.09,gravel
6.0,6.3,190420.8,416033.2,9.09,gravel
6.3,8.5,190420.8,416033.2,9.09,silt
8.5,9.5,190420.8,416033.2,9.09,silt
9.5,9.6,190420.8,416033.2,9.09,rocks
9.6,10.5,190420.8,416033.2,9.09,silt
10.5,13.0,190420.8,416033.2,9.09,gravel
0.0,0.3,190571.4,415815.1,9.9,silt
0.3,0.7,190571.4,415815.1,9.9,clay
0.7,0.9,190571.4,415815.1,9.9,clay
0.9,1.5,190571.4,415815.1,9.9,clay
1.5,2.5,190571.4,415815.1,9.9,clay
2.5,2.9,190571.4,415815.1,9.9,clay
2.9,3.5,190571.4,415815.1,9.9,silt
3.5,4.9,190571.4,415815.1,9.9,silt
4.9,6.5,190571.4,415815.1,9.9,silt
6.5,9.5,190571.4,415815.1,9.9,silt
9.5,10.5,190571.4,415815.1,9.9,silt
10.5,11.0,190571.4,415815.1,9.9,silt
0.0,0.3,190702.3,415623.51,10.19,clay
0.3,1.3,190702.3,415623.51,10.19,clay
1.3,1.8,190702.3,415623.51,10.19,clay
1.8,2.1,190702.3,415623.51,10.19,clay
2.1,2.5,190702.3,415623.51,10.19,clay
2.5,3.0,190702.3,415623.51,10.19,silt
3.0,4.0,190702.3,415623.51,10.19,silt
4.0,5.6,190702.3,415623.51,10.19,silt
5.6,11.0,190702.3,415623.51,10.19,silt
11.0,11.5,190702.3,415623.51,10.19,gravel
0.0,0.4,190884.2,415468.2,10.35,clay
0.4,0.5,190884.2,415468.2,10.35,silt
0.5,1.5,190884.2,415468.2,10.35,clay
1.5,2.0,190884.2,415468.2,10.35,clay
2.0,3.5,190884.2,415468.2,10.35,silt
3.5,6.2,190884.2,415468.2,10.35,silt
6.2,9.0,190884.2,415468.2,10.35,silt
9.0,10.5,190884.2,415468.2,10.35,silt
10.5,11.8,190884.2,415468.2,10.35,silt
11.8,12.2,190884.2,415468.2,10.35,silt
12.2,14.0,190884.2,415468.2,10.35,silt
0.0,1.3,191080.1,415314.7,9.72,clay
1.3,1.7,191080.1,415314.7,9.72,clay
1.7,2.3,191080.1,415314.7,9.72,silt
2.3,4.0,191080.1,415314.7,9.72,silt
4.0,5.4,191080.1,415314.7,9.72,silt
5.4,5.7,191080.1,415314.7,9.72,silt
5.7,6.5,191080.1,415314.7,9.72,gravel
6.5,7.3,191080.1,415314.7,9.72,silt
7.3,10.0,191080.1,415314.7,9.72,silt
10.0,12.0,191080.1,415314.7,9.72,silt
0.0,1.0,191270.8,415177.21,10.87,clay
1.0,1.8,191270.8,415177.21,10.87,clay
1.8,3.5,191270.8,415177.21,10.87,clay
3.5,4.5,191270.8,415177.21,10.87,silt
4.5,6.0,191270.8,415177.21,10.87,silt
6.0,7.5,191270.8,415177.21,10.87,silt
7.5,14.5,191270.8,415177.21,10.87,silt
0.0,0.5,191514.2,415067.0,10.2,clay
0.5,1.1,191514.2,415067.0,10.2,clay
1.1,2.2,191514.2,415067.0,10.2,silt
2.2,3.6,191514.2,415067.0,10.2,clay
3.6,3.9,191514.2,415067.0,10.2,clay
3.9,7.0,191514.2,415067.0,10.2,silt
7.0,10.0,191514.2,415067.0,10.2,silt
10.0,10.5,191514.2,415067.0,10.2,silt
0.0,0.5,191733.95,414952.14,10.06,clay
0.5,1.1,191733.95,414952.14,10.06,silt
1.1,2.1,191733.95,414952.14,10.06,gravel
2.1,3.1,191733.95,414952.14,10.06,gravel
3.1,3.5,191733.95,414952.14,10.06,gravel
3.5,4.5,191733.95,414952.14,10.06,silt
4.5,5.5,191733.95,414952.14,10.06,silt
5.5,6.5,191733.95,414952.14,10.06,silt
6.5,7.5,191733.95,414952.14,10.06,silt
7.5,8.0,191733.95,414952.14,10.06,silt
8.0,9.0,191733.95,414952.14,10.06,silt
0.0,0.3,192109.9,415211.8,12.51,silt
0.3,1.3,192109.9,415211.8,12.51,silt
1.3,2.0,192109.9,415211.8,12.51,silt
2.0,3.0,192109.9,415211.8,12.51,silt
3.0,3.8,192109.9,415211.8,12.51,silt
3.8,4.2,192109.9,415211.8,12.51,silt
4.2,5.2,192109.9,415211.8,12.51,silt
5.2,6.2,192109.9,415211.8,12.51,silt
6.2,6.5,192109.9,415211.8,12.51,silt
6.5,7.5,192109.9,415211.8,12.51,silt
7.5,8.5,192109.9,415211.8,12.51,gravel
8.5,9.0,192109.9,415211.8,12.51,gravel
0.0,2.0,192565.7,415084.91,12.93,silt
2.0,4.0,192565.7,415084.91,12.93,gravel
4.0,8.0,192565.7,415084.91,12.93,silt
0.0,2.0,192595.4,414914.7,13.03,silt
2.0,6.5,192595.4,414914.7,13.03,silt
6.5,7.5,192595.4,414914.7,13.03,silt
7.5,10.0,192595.4,414914.7,13.03,silt
0.0,0.3,192865.2,414594.8,13.84,silt
0.3,1.4,192865.2,414594.8,13.84,clay
1.4,3.7,192865.2,414594.8,13.84,silt
3.7,5.0,192865.2,414594.8,13.84,silt
5.0,7.0,192865.2,414594.8,13.84,gravel
7.0,8.5,192865.2,414594.8,13.84,silt
8.5,11.5,192865.2,414594.8,13.84,silt
11.5,13.0,192865.2,414594.8,13.84,gravel
0.0,0.6,192975.0,414475.01,10.99,rocks
0.6,1.1,192975.0,414475.01,10.99,silt
1.1,2.1,192975.0,414475.01,10.99,silt
2.1,2.4,192975.0,414475.01,10.99,silt
2.4,3.4,192975.0,414475.01,10.99,gravel
3.4,3.6,192975.0,414475.01,10.99,gravel
3.6,4.5,192975.0,414475.01,10.99,silt
4.5,5.5,192975.0,414475.01,10.99,silt
5.5,6.0,192975.0,414475.01,10.99,silt
6.0,7.0,192975.0,414475.01,10.99,silt
7.0,8.0,192975.0,414475.01,10.99,silt
8.0,9.0,192975.0,414475.01,10.99,silt
9.0,10.0,192975.0,414475.01,10.99,gravel
0.0,1.0,193239.6,414388.69,12.2,silt
1.0,1.1,193239.6,414388.69,12.2,silt
1.1,1.6,193239.6,414388.69,12.2,clay
1.6,2.0,193239.6,414388.69,12.2,clay
2.0,2.3,193239.6,414388.69,12.2,clay
2.3,3.0,193239.6,414388.69,12.2,clay
3.0,3.5,193239.6,414388.69,12.2,silt
3.5,4.5,193239.6,414388.69,12.2,silt
4.5,4.8,193239.6,414388.69,12.2,silt
4.8,5.8,193239.6,414388.69,12.2,silt
5.8,6.5,193239.6,414388.69,12.2,silt
6.5,7.5,193239.6,414388.69,12.2,silt
7.5,8.0,193239.6,414388.69,12.2,silt
8.0,8.5,193239.6,414388.69,12.2,gravel
0.0,0.5,193417.7,414421.89,12.59,clay
0.5,6.7,193417.7,414421.89,12.59,silt
6.7,8.0,193417.7,414421.89,12.59,gravel
0.0,0.5,193627.0,414432.0,11.42,silt
0.5,1.5,193627.0,414432.0,11.42,silt
1.5,2.0,193627.0,414432.0,11.42,silt
2.0,3.0,193627.0,414432.0,11.42,silt
3.0,3.4,193627.0,414432.0,11.42,silt
3.4,3.6,193627.0,414432.0,11.42,silt
3.6,4.6,193627.0,414432.0,11.42,silt
4.6,5.0,193627.0,414432.0,11.42,silt
5.0,6.0,193627.0,414432.0,11.42,silt
6.0,6.5,193627.0,414432.0,11.42,silt
6.5,7.0,193627.0,414432.0,11.42,silt
7.0,8.0,193627.0,414432.0,11.42,silt
8.0,9.0,193627.0,414432.0,11.42,silt
9.0,9.5,193627.0,414432.0,11.42,silt
9.5,10.5,193627.0,414432.0,11.42,silt
10.5,11.5,193627.0,414432.0,11.42,gravel
11.5,11.7,193627.0,414432.0,11.42,clay
11.7,12.7,193627.0,414432.0,11.42,gravel
12.7,13.0,193627.0,414432.0,11.42,gravel
0.0,0.8,193874.0,414443.0,13.74,silt
0.8,1.8,193874.0,414443.0,13.74,silt
1.8,2.5,193874.0,414443.0,13.74,clay
2.5,2.8,193874.0,414443.0,13.74,clay
2.8,3.8,193874.0,414443.0,13.74,silt
3.8,4.8,193874.0,414443.0,13.74,silt
4.8,5.0,193874.0,414443.0,13.74,silt
5.0,6.0,193874.0,414443.0,13.74,silt
6.0,7.0,193874.0,414443.0,13.74,silt
7.0,8.0,193874.0,414443.0,13.74,silt
8.0,8.5,193874.0,414443.0,13.74,silt
8.5,9.5,193874.0,414443.0,13.74,silt
9.5,10.5,193874.0,414443.0,13.74,silt
0.0,1.5,194333.2,414263.5,13.92,clay
1.5,3.8,194333.2,414263.5,13.92,rocks
3.8,7.0,194333.2,414263.5,13.92,silt
7.0,8.5,194333.2,414263.5,13.92,silt
0.0,0.4,194567.3,414168.3,12.56,silt
0.4,1.1,194567.3,414168.3,12.56,clay
1.1,4.5,194567.3,414168.3,12.56,silt
4.5,7.0,194567.3,414168.3,12.56,rocks
0.0,0.2,194743.7,414057.9,13.11,silt
0.2,1.1,194743.7,414057.9,13.11,clay
1.1,4.5,194743.7,414057.9,13.11,rocks
4.5,7.0,194743.7,414057.9,13.11,gravel
0.0,0.2,194881.4,413835.0,13.1,clay
0.2,1.5,194881.4,413835.0,13.1,clay
1.5,4.5,194881.4,413835.0,13.1,silt
4.5,7.0,194881.4,413835.0,13.1,gravel
0.0,0.7,195061.2,413591.5,12.0,silt
0.7,1.7,195061.2,413591.5,12.0,silt
1.7,2.7,195061.2,413591.5,12.0,silt
2.7,3.5,195061.2,413591.5,12.0,silt
3.5,4.5,195061.2,413591.5,12.0,gravel
4.5,5.5,195061.2,413591.5,12.0,gravel
5.5,6.5,195061.2,413591.5,12.0,gravel
6.5,7.0,195061.2,413591.5,12.0,gravel
0.0,0.6,195165.6,413413.5,11.24,clay
0.6,1.6,195165.6,413413.5,11.24,silt
1.6,2.6,195165.6,413413.5,11.24,silt
2.6,3.0,195165.6,413413.5,11.24,silt
3.0,4.0,195165.6,413413.5,11.24,silt
4.0,5.0,195165.6,413413.5,11.24,silt
5.0,6.0,195165.6,413413.5,11.24,silt
6.0,7.0,195165.6,413413.5,11.24,silt
7.0,7.8,195165.6,413413.5,11.24,silt
7.8,8.8,195165.6,413413.5,11.24,gravel
8.8,9.2,195165.6,413413.5,11.24,gravel
9.2,10.2,195165.6,413413.5,11.24,silt
10.2,10.5,195165.6,413413.5,11.24,silt
10.5,11.5,195165.6,413413.5,11.24,silt
11.5,12.5,195165.6,413413.5,11.24,silt
12.5,13.0,195165.6,413413.5,11.24,silt
13.0,14.0,195165.6,413413.5,11.24,silt
14.0,15.0,195165.6,413413.5,11.24,silt
15.0,15.8,195165.6,413413.5,11.24,silt
15.8,16.8,195165.6,413413.5,11.24,silt
16.8,17.0,195165.6,413413.5,11.24,silt
0.0,0.3,195358.7,413227.7,12.79,silt
0.3,1.0,195358.7,413227.7,12.79,silt
1.0,2.0,195358.7,413227.7,12.79,silt
2.0,3.0,195358.7,413227.7,12.79,silt
3.0,4.0,195358.7,413227.7,12.79,silt
4.0,5.0,195358.7,413227.7,12.79,silt
5.0,6.0,195358.7,413227.7,12.79,silt
6.0,7.0,195358.7,413227.7,12.79,silt
7.0,7.3,195358.7,413227.7,12.79,silt
7.3,8.3,195358.7,413227.7,12.79,silt
8.3,8.5,195358.7,413227.7,12.79,silt
8.5,9.5,195358.7,413227.7,12.79,gravel
9.5,10.0,195358.7,413227.7,12.79,gravel
0.0,0.2,195432.9,413032.29,13.16,rocks
0.2,1.0,195432.9,413032.29,13.16,rocks
1.0,2.0,195432.9,413032.29,13.16,silt
2.0,3.0,195432.9,413032.29,13.16,silt
3.0,4.0,195432.9,413032.29,13.16,silt
4.0,5.0,195432.9,413032.29,13.16,silt
5.0,6.0,195432.9,413032.29,13.16,gravel
6.0,7.0,195432.9,413032.29,13.16,gravel
7.0,8.0,195432.9,413032.29,13.16,gravel
8.0,9.0,195432.9,413032.29,13.16,gravel
9.0,10.0,195432.9,413032.29,13.16,gravel
10.0,11.0,195432.9,413032.29,13.16,gravel
11.0,12.0,195432.9,413032.29,13.16,gravel
0.0,1.0,195583.3,412895.0,12.18,silt
1.0,1.5,195583.3,412895.0,12.18,silt
1.5,2.5,195583.3,412895.0,12.18,silt
2.5,3.5,195583.3,412895.0,12.18,silt
3.5,5.0,195583.3,412895.0,12.18,silt
5.0,6.0,195583.3,412895.0,12.18,gravel
6.0,7.0,195583.3,412895.0,12.18,gravel
7.0,7.5,195583.3,412895.0,12.18,gravel
7.5,7.8,195583.3,412895.0,12.18,gravel
7.8,8.8,195583.3,412895.0,12.18,gravel
8.8,9.0,195583.3,412895.0,12.18,gravel
9.0,10.0,195583.3,412895.0,12.18,silt
10.0,11.0,195583.3,412895.0,12.18,silt
11.0,12.0,195583.3,412895.0,12.18,silt
12.0,13.0,195583.3,412895.0,12.18,silt
13.0,13.5,195583.3,412895.0,12.18,silt
13.5,13.8,195583.3,412895.0,12.18,rocks
13.8,14.8,195583.3,412895.0,12.18,silt
14.8,15.8,195583.3,412895.0,12.18,silt
15.8,16.8,195583.3,412895.0,12.18,silt
16.8,17.5,195583.3,412895.0,12.18,silt
0.0,0.3,195729.1,412775.0,11.35,silt
0.3,1.0,195729.1,412775.0,11.35,silt
1.0,1.5,195729.1,412775.0,11.35,silt
1.5,2.5,195729.1,412775.0,11.35,silt
2.5,3.2,195729.1,412775.0,11.35,silt
3.2,4.2,195729.1,412775.0,11.35,gravel
4.2,4.5,195729.1,412775.0,11.35,gravel
4.5,5.0,195729.1,412775.0,11.35,silt
0.0,0.6,195985.19,412701.09,11.08,silt
0.6,0.8,195985.19,412701.09,11.08,clay
0.8,1.8,195985.19,412701.09,11.08,silt
1.8,2.8,195985.19,412701.09,11.08,silt
2.8,3.5,195985.19,412701.09,11.08,silt
3.5,4.5,195985.19,412701.09,11.08,silt
4.5,5.0,195985.19,412701.09,11.08,gravel
0.0,0.9,196180.71,412678.29,12.47,clay
0.9,1.9,196180.71,412678.29,12.47,silt
1.9,2.0,196180.71,412678.29,12.47,silt
2.0,2.8,196180.71,412678.29,12.47,rocks
2.8,3.8,196180.71,412678.29,12.47,silt
3.8,4.2,196180.71,412678.29,12.47,silt
4.2,5.0,196180.71,412678.29,12.47,gravel
0.0,0.6,196344.0,412682.8,11.85,rocks
0.6,1.5,196344.0,412682.8,11.85,silt
1.5,2.8,196344.0,412682.8,11.85,silt
2.8,3.8,196344.0,412682.8,11.85,silt
3.8,4.0,196344.0,412682.8,11.85,silt
4.0,5.0,196344.0,412682.8,11.85,silt
5.0,6.0,196344.0,412682.8,11.85,silt
6.0,7.0,196344.0,412682.8,11.85,silt
7.0,7.2,196344.0,412682.8,11.85,silt
7.2,8.2,196344.0,412682.8,11.85,gravel
8.2,8.5,196344.0,412682.8,11.85,gravel
8.5,9.5,196344.0,412682.8,11.85,silt
9.5,10.5,196344.0,412682.8,11.85,silt
10.5,10.6,196344.0,412682.8,11.85,silt
10.6,11.0,196344.0,412682.8,11.85,silt
11.0,12.0,196344.0,412682.8,11.85,silt
12.0,13.0,196344.0,412682.8,11.85,silt
13.0,14.0,196344.0,412682.8,11.85,silt
14.0,15.0,196344.0,412682.8,11.85,silt
15.0,16.0,196344.0,412682.8,11.85,silt
16.0,17.0,196344.0,412682.8,11.85,silt
17.0,17.5,196344.0,412682.8,11.85,silt
17.5,18.5,196344.0,412682.8,11.85,silt
18.5,19.5,196344.0,412682.8,11.85,silt
19.5,20.0,196344.0,412682.8,11.85,silt
0.0,0.7,196592.0,412829.0,11.27,silt
0.7,1.7,196592.0,412829.0,11.27,silt
1.7,2.0,196592.0,412829.0,11.27,silt
2.0,3.0,196592.0,412829.0,11.27,gravel
0.0,0.4,196890.14,413027.91,12.85,clay
0.4,0.6,196890.14,413027.91,12.85,silt
0.6,0.9,196890.14,413027.91,12.85,clay
0.9,1.9,196890.14,413027.91,12.85,silt
1.9,2.3,196890.14,413027.91,12.85,silt
2.3,2.6,196890.14,413027.91,12.85,silt
2.6,3.5,196890.14,413027.91,12.85,silt
0.0,0.6,197121.62,413135.43,12.85,clay
0.6,1.3,197121.62,413135.43,12.85,clay
1.3,2.3,197121.62,413135.43,12.85,silt
2.3,2.8,197121.62,413135.43,12.85,silt
2.8,3.2,197121.62,413135.43,12.85,silt
3.2,4.2,197121.62,413135.43,12.85,gravel
4.2,4.5,197121.62,413135.43,12.85,gravel
0.0,0.2,197465.7,413228.5,13.51,silt
0.2,0.4,197465.7,413228.5,13.51,silt
0.4,1.0,197465.7,413228.5,13.51,silt
1.0,2.0,197465.7,413228.5,13.51,clay
2.0,2.2,197465.7,413228.5,13.51,clay
2.2,3.2,197465.7,413228.5,13.51,silt
3.2,4.2,197465.7,413228.5,13.51,silt
4.2,5.0,197465.7,413228.5,13.51,silt
5.0,6.0,197465.7,413228.5,13.51,silt
6.0,6.2,197465.7,413228.5,13.51,silt
6.2,7.2,197465.7,413228.5,13.51,gravel
7.2,7.5,197465.7,413228.5,13.51,gravel
7.5,7.6,197465.7,413228.5,13.51,rocks
7.6,8.5,197465.7,413228.5,13.51,gravel
8.5,8.6,197465.7,413228.5,13.51,rocks
8.6,9.6,197465.7,413228.5,13.51,silt
9.6,10.0,197465.7,413228.5,13.51,silt
10.0,11.0,197465.7,413228.5,13.51,silt
11.0,12.0,197465.7,413228.5,13.51,silt
12.0,13.0,197465.7,413228.5,13.51,silt
13.0,14.0,197465.7,413228.5,13.51,silt
14.0,15.0,197465.7,413228.5,13.51,silt
0.0,0.3,197725.37,413337.68,13.85,silt
0.3,0.8,197725.37,413337.68,13.85,clay
0.8,1.2,197725.37,413337.68,13.85,silt
1.2,2.2,197725.37,413337.68,13.85,silt
2.2,3.2,197725.37,413337.68,13.85,silt
3.2,4.2,197725.37,413337.68,13.85,silt
4.2,5.2,197725.37,413337.68,13.85,silt
5.2,5.5,197725.37,413337.68,13.85,silt
5.5,6.2,197725.37,413337.68,13.85,silt
6.2,6.5,197725.37,413337.68,13.85,silt
0.0,0.7,197961.6,413432.06,13.76,rocks
0.7,1.3,197961.6,413432.06,13.76,silt
1.3,2.3,197961.6,413432.06,13.76,silt
2.3,3.3,197961.6,413432.06,13.76,silt
3.3,4.3,197961.6,413432.06,13.76,silt
4.3,5.3,197961.6,413432.06,13.76,silt
5.3,5.5,197961.6,413432.06,13.76,silt
5.5,6.5,197961.6,413432.06,13.76,silt
6.5,7.5,197961.6,413432.06,13.76,silt
7.5,8.5,197961.6,413432.06,13.76,silt
0.0,0.2,198070.24,413320.9,13.98,silt
0.2,0.6,198070.24,413320.9,13.98,silt
0.6,1.6,198070.24,413320.9,13.98,silt
1.6,2.6,198070.24,413320.9,13.98,silt
2.6,3.4,198070.24,413320.9,13.98,silt
3.4,4.4,198070.24,413320.9,13.98,silt
4.4,4.9,198070.24,413320.9,13.98,silt
4.9,5.9,198070.24,413320.9,13.98,gravel
5.9,6.9,198070.24,413320.9,13.98,silt
6.9,7.5,198070.24,413320.9,13.98,silt
0.0,0.2,198308.45,413410.22,13.1,silt
0.2,1.2,198308.45,413410.22,13.1,silt
1.2,2.2,198308.45,413410.22,13.1,silt
2.2,3.2,198308.45,413410.22,13.1,silt
3.2,4.2,198308.45,413410.22,13.1,silt
4.2,5.2,198308.45,413410.22,13.1,gravel
5.2,5.5,198308.45,413410.22,13.1,clay
5.5,6.5,198308.45,413410.22,13.1,silt
6.5,7.5,198308.45,413410.22,13.1,silt
7.5,8.0,198308.45,413410.22,13.1,silt
0.0,0.5,198536.29,413521.5,13.39,clay
0.5,1.5,198536.29,413521.5,13.39,silt
1.5,2.5,198536.29,413521.5,13.39,silt
2.5,3.5,198536.29,413521.5,13.39,silt
3.5,4.5,198536.29,413521.5,13.39,gravel
4.5,5.5,198536.29,413521.5,13.39,gravel
0.0,0.5,198762.93,413565.44,13.56,clay
0.5,1.5,198762.93,413565.44,13.56,silt
1.5,2.5,198762.93,413565.44,13.56,silt
2.5,3.5,198762.93,413565.44,13.56,silt
3.5,4.5,198762.93,413565.44,13.56,gravel
4.5,5.5,198762.93,413565.44,13.56,gravel
0.0,0.7,198805.73,413431.61,13.47,clay
0.7,1.4,198805.73,413431.61,13.47,silt
1.4,1.8,198805.73,413431.61,13.47,silt
1.8,2.8,198805.73,413431.61,13.47,silt
2.8,3.8,198805.73,413431.61,13.47,silt
3.8,4.8,198805.73,413431.61,13.47,silt
4.8,5.8,198805.73,413431.61,13.47,silt
5.8,6.8,198805.73,413431.61,13.47,silt
6.8,7.8,198805.73,413431.61,13.47,silt
7.8,8.0,198805.73,413431.61,13.47,silt
0.0,0.5,198964.87,413422.89,13.89,clay
0.5,1.3,198964.87,413422.89,13.89,silt
1.3,2.3,198964.87,413422.89,13.89,silt
2.3,2.9,198964.87,413422.89,13.89,silt
2.9,3.5,198964.87,413422.89,13.89,silt
3.5,4.5,198964.87,413422.89,13.89,silt
4.5,5.4,198964.87,413422.89,13.89,gravel
5.4,6.4,198964.87,413422.89,13.89,silt
6.4,7.2,198964.87,413422.89,13.89,silt
7.2,8.2,198964.87,413422.89,13.89,gravel
8.2,9.2,198964.87,413422.89,13.89,gravel
9.2,9.5,198964.87,413422.89,13.89,gravel
0.0,0.5,198997.32,413655.6,14.16,silt
0.5,1.5,198997.32,413655.6,14.16,silt
1.5,1.6,198997.32,413655.6,14.16,silt
1.6,1.9,198997.32,413655.6,14.16,silt
1.9,2.1,198997.32,413655.6,14.16,silt
2.1,2.8,198997.32,413655.6,14.16,silt
2.8,3.8,198997.32,413655.6,14.16,silt
3.8,4.5,198997.32,413655.6,14.16,silt
4.5,5.2,198997.32,413655.6,14.16,silt
5.2,6.2,198997.32,413655.6,14.16,gravel
6.2,6.5,198997.32,413655.6,14.16,gravel
6.5,7.5,198997.32,413655.6,14.16,silt
7.5,8.5,198997.32,413655.6,14.16,silt
8.5,8.7,198997.32,413655.6,14.16,silt
8.7,9.5,198997.32,413655.6,14.16,silt
0.0,0.5,199162.0,413758.0,11.42,silt
0.5,0.9,199162.0,413758.0,11.42,clay
0.9,1.2,199162.0,413758.0,11.42,silt
1.2,2.2,199162.0,413758.0,11.42,silt
2.2,2.5,199162.0,413758.0,11.42,silt
2.5,3.5,199162.0,413758.0,11.42,silt
3.5,4.2,199162.0,413758.0,11.42,silt
4.2,5.2,199162.0,413758.0,11.42,silt
5.2,6.2,199162.0,413758.0,11.42,silt
6.2,6.5,199162.0,413758.0,11.42,silt
0.0,0.4,199367.46,413963.64,12.6,silt
0.4,1.2,199367.46,413963.64,12.6,silt
1.2,1.6,199367.46,413963.64,12.6,silt
1.6,2.5,199367.46,413963.64,12.6,silt
2.5,3.5,199367.46,413963.64,12.6,silt
3.5,4.5,199367.46,413963.64,12.6,gravel
0.0,1.0,199579.1,414111.09,13.69,clay
1.0,1.1,199579.1,414111.09,13.69,clay
1.1,2.1,199579.1,414111.09,13.69,silt
2.1,2.8,199579.1,414111.09,13.69,silt
2.8,3.2,199579.1,414111.09,13.69,silt
3.2,3.6,199579.1,414111.09,13.69,silt
3.6,4.5,199579.1,414111.09,13.69,silt
4.5,5.5,199579.1,414111.09,13.69,silt
5.5,6.0,199579.1,414111.09,13.69,silt
6.0,7.5,199579.1,414111.09,13.69,gravel
